"Kati Ernst","Co-CEO and Co-Founder","ooshi"
"Luigi Feola","Managing Partner","LCatterton Europe"
"Lukas Mielke","Co-Founder","Immo1"
"Christof Schminke","Managing Director Commercial","Trafi"
"Basar Caniperk","Co-Founder","LoanLink"
"Benjamin Kuna","Founder","Tylko"
"Nick Miller","Founder","Shedul"
"Gaston Tourn","CMO","Bettzeit"
"Tim Antos","Co-Founder & CEO","Kokoon Technology"
"Jonny Steel","VP Marketing","Payoneer"
"Triin Kask","CEO","Nevercode"
"Philippe Cayrol","VP Corporate and Business Development","BlaBlaCar"
"Chiara Sommer","Investment Director","Intel Capital"
"Johannes Reck","CEO","Get Your Guide"
"Florian Hoffmann","Founder & CEO","The DO School"
"Martin Varsavsky","CEO","Goggo Network"
"Alexander Schwarz","Co-Founder","TAPP Water"
"Christian Wiens","Co-Founder & CEO","Getsafe"
"Gamal Moukabary","CEO & Co-Founder","Bonify"
"Umang Patel","Clinical Director","Babylon Health"
"Robin von Hein","Founder & CEO","Simplesurance"
"Nils Henning","Co-Founder & MD","CASAFARI"
"Daniel Haver","CEO & Co-Founder","Native Instruments"
"Lomax Ward","General Partner & Co-Founder","Luminous Ventures"
"Henrik Zillmer","Founder & CEO","AirHelp"
"Maru Winnacker","Founding Partner","SUPER Group"
"Alex Melzer","CEO","ZOLAR"
"Andy Wilson","Industry Principal for Media","Dropbox"
"Dominic Williams","President & Chief Scientist","Dfinity"
"Renata Jungo Brüngger","Member of the Board of Management","Daimler"
"Philipp Man","CEO","Chronext"
"Simon Bolz","CEO & Co-Founder","Klara"
"Travis Pittman","CEO","TourRadar"
"Julienne Ernst","International Growth Strategy and Sales Manager","Google"
"Donald Lacey","COO","Ping An"
"Yuriy Mukhin","Co-Founder","Lalafo"
"Paolo Galvani","Co-Founder and Chairman","Moneyfarm"
"John Lu","CEO & Founder","WaterRock Technology"
"Shravin Bharti Mittal","Founder & CEO","Unbound"
"Stefan Peukert","CEO & Founder","Masterplan.com"
"Lisen Almgren","Founder & MD","Soundry"
"Kalle Salmi","CEO","Kodit.io"
"Bastian Lechner","Founder & CEO","Catana Capital"
"Ronald Brus","Founder & CEO","myTomorrows"
"Stephan Bayer","CEO","Sofatutor"
"Karan Wadhera","Managing Partner","Casa Verde Capital"
"Irma Camperio Ciani","Sponsorship & Startup Stage Moderator","NOAH Advisors"
"Akin Onal","Founder & CEO","Mori"
"Anna Baumann","CEO","Rogue Sports"
"Videesha Boeckle","Founding Partner","Signals Venture Capital"
"Karsten Wildberger","COO","E.ON"
"Florian Deleuil","Product Manager","Netatmo"
"Tilo Bonow","CEO & Founder","Piabo PR"
"Whitney Bromberg Hawkings","CEO","FLOWERBX"
"Matteo Bergamini","Founder & CEO","Shoutout UK"
"Fatih Uysal","CEO","Kariyer.net"
"Derek Morrison","Derek Morrison","StockX"
"Noam Fine","CEO","over.ai"
"Regina Duzanskaja","VP Corporate Development","Basware"
"Carl-Philipp von Polheim","Founder & Co-CEO","mybacs"
"Yishai Fried","Head of Online Marketing","Frontier Car Group"
"Victoria Engelhardt","Co-Founder & CEO","Keleya"
